name,url,kind,why
MUUUUU.ORG（ムーオルグ）,https://muuuuu.org/,gallery,国内トップ級の厳選型ギャラリー。掲載基準が厳しく縦長・高品質サイトが中心／カテゴリ一覧 https://muuuuu.org/category ・学校/大学/教育 https://muuuuu.org/category/industry/school ・教育サービス https://muuuuu.org/category/industry/education-service ・コーポレート https://muuuuu.org/category/sitetype/co ・ブランド/コンセプト https://muuuuu.org/category/sitetype/brand
MUUUUU.ORG｜学校・大学・教育カテゴリ,https://muuuuu.org/category/industry/school,gallery,教育系277件。厳選掲載のため学校サイトの当たり率が高く、教育・スクール案件の参照母数として最有力
SANKOU!,https://sankoudesign.com/,gallery,"国内最大級・約3,500件、業種×サイトタイプ×色で多軸検索できる定番／学校・教育 https://sankoudesign.com/category/school-education/ ・スクール/習い事/教材 https://sankoudesign.com/category/adult-school/ ・コーポレート https://sankoudesign.com/category/corporatesite/ ・ブランド/サービス https://sankoudesign.com/category/brandsite/ ・LP https://sankoudesign.com/category/lp/"
SANKOU!｜スクール・習い事・教材カテゴリ,https://sankoudesign.com/category/adult-school/,gallery,塾・習い事・教材という民間スクール業種を単独カテゴリで切り出している数少ないギャラリー
SANKOU!｜学校・教育カテゴリ,https://sankoudesign.com/category/school-education/,gallery,学校法人系のサイトが業種軸でまとまっており、色・イメージ別の絞り込みも併用できる
I/O 3000,https://io3000.com/,gallery,2011年から続く老舗の選定型ギャラリー。国内外を編集部が厳選／カテゴリ一覧 https://io3000.com/category/bm/ ・教育/学校 https://io3000.com/category/bm/education/
81-web.com,https://81-web.com/,gallery,日本のサイトのみを扱い、フォント・配色・制作会社まで表示するのが特徴。※2026年時点でNuxt製SPAに刷新され絞り込みはクライアント側処理のため、業種別の個別URLは存在せずトップの一覧UIから操作する
bookma!,https://bookma.org/,gallery,PCとスマホのデザインを並べて比較できる構成が独自。※一覧UIはJS制御で業種別の個別URLは持たない
Web Design Clip,https://webdesignclip.com/,gallery,カテゴリ39種と国内最細分類。日本/海外/LP/スマホの4ギャラリーを併設／学校・教育 https://webdesignclip.com/category/education/ ・企業/事務所 https://webdesignclip.com/category/company/ ・採用 https://webdesignclip.com/category/recruit/
Web Design Clip [L]（LP・ランディングページ専門）,https://lp.webdesignclip.com/,gallery,本体から独立したLP専用ギャラリー。LP単体の構成・訴求パターン収集に直結する
Web Design Clip [S]（スマホ・レスポンシブ専門）,https://sp.webdesignclip.com/,gallery,スマホ実機基準のクリップ集。FVをモバイル前提で設計する際の参照に使える
Responsive Web Design JP,https://responsive-jp.com/,gallery,レスポンシブ実装に特化した老舗。ブレークポイントごとの見え方を確認できる／カテゴリ一覧 https://responsive-jp.com/category ・学校/教育 https://responsive-jp.com/category/category/education
S5-Style（旧 straightline bookmark の後継）,https://www.s5-style.com/,gallery,ハイクオリティ縛りの選定型。旧 bm.straightline.jp は停止済で、現行の受け皿がこのドメイン。※絞り込みはSPA内処理で業種別URLなし
1GUU,https://1guu.jp/,gallery,業種・国・配色・デザイン手法の4軸タクソノミが整備され、海外事例も国別に引ける／学校・教育 https://1guu.jp/category/industry/school/ ・業種一覧は /category/industry/ 配下
Parts.（パーツ別Webデザイン集）,https://partsdesign.net/,gallery,SaaS・サービスサイト/LPをMV・ヘッダー・CTA・FAQ等のパーツ単位で横断比較できる。LPの部分設計を詰めるとき唯一無二
現代デザイン,https://gendaidesign.com/,gallery,業種35分類×配色タグで検索できる大規模リンク集／学校・資格・研究 https://gendaidesign.com/category/school/ ・企業 https://gendaidesign.com/category/company/ ・医療/福祉 https://gendaidesign.com/category/medical/
ちょうどいいWebデザインギャラリー,https://choooodoii.com/,gallery,「奇をてらわない実務レベル」の基準で選定。受注案件に流用しやすい／教育・学校 https://choooodoii.com/industry/school/ ・コーポレート https://choooodoii.com/site-type/corporate/ ・業種は /industry/{slug}/、サイト種別は /site-type/{slug}/
イケサイ,https://www.ikesai.com/,gallery,2004年開設の国内最古参級リンク集で母数が圧倒的／教育・学校 https://www.ikesai.com/cat/education/ ・企業/コーポレート https://www.ikesai.com/cat/corp/
URAGAWA,https://mirai-works.co.jp/uragawa/,gallery,掲載サイトごとに制作会社名が紐づく唯一級のギャラリー（競合の制作元調査に使える）。ドメインは mirai-works.co.jp/uragawa/ へ移設済／教育・学校 https://mirai-works.co.jp/uragawa/industry/education/ ・コーポレート https://mirai-works.co.jp/uragawa/type/corporate/ ・採用 /type/recruit/
URAGAWA｜教育・学校カテゴリ,https://mirai-works.co.jp/uragawa/industry/education/,gallery,教育業種70件に制作会社名が併記され、学校案件を取っている制作会社の特定までできる
マネるデザイン研究所,https://maneru-design-lab.net/,gallery,「なぜ良いか」の解説つきで掲載する解説型ギャラリー／学校・教育 https://maneru-design-lab.net/category/education ・業種は /category/{slug}
デザインのこと,https://designnokoto.com/,gallery,幼稚園・保育園を独立カテゴリに持つ数少ないギャラリー／学校・教育 https://designnokoto.com/category/school ・幼稚園/保育園 https://designnokoto.com/category/kindergarten_nurseryschool ・企業サイト https://designnokoto.com/category/company
デザインのこと｜幼稚園・保育園カテゴリ,https://designnokoto.com/category/kindergarten_nurseryschool,gallery,未就学児向け施設に絞った一覧。キッズ・預かり保育系の制作物のトンマナ参照に直結する
